,customer_no,timestamp,location,origin
0,friday_1,2019-09-06 07:00:00,dairy,friday
1,friday_1,2019-09-06 07:01:00,dairy,friday
2,friday_1,2019-09-06 07:02:00,dairy,friday
3,friday_1,2019-09-06 07:03:00,dairy,friday
4,friday_1,2019-09-06 07:04:00,spices,friday
5,friday_1,2019-09-06 07:05:00,checkout,friday
6,friday_10,2019-09-06 07:06:00,fruit,friday
7,friday_10,2019-09-06 07:07:00,fruit,friday
8,friday_10,2019-09-06 07:08:00,fruit,friday
9,friday_10,2019-09-06 07:09:00,fruit,friday
10,friday_10,2019-09-06 07:10:00,fruit,friday
11,friday_10,2019-09-06 07:11:00,checkout,friday
12,friday_100,2019-09-06 08:03:00,fruit,friday
13,friday_100,2019-09-06 08:04:00,checkout,friday
14,friday_1000,2019-09-06 17:19:00,fruit,friday
15,friday_1000,2019-09-06 17:20:00,checkout,friday
16,friday_1001,2019-09-06 17:19:00,fruit,friday
17,friday_1001,2019-09-06 17:20:00,fruit,friday
18,friday_1001,2019-09-06 17:21:00,drinks,friday
19,friday_1001,2019-09-06 17:22:00,drinks,friday
20,friday_1001,2019-09-06 17:23:00,spices,friday
21,friday_1001,2019-09-06 17:24:00,drinks,friday
22,friday_1001,2019-09-06 17:25:00,drinks,friday
23,friday_1001,2019-09-06 17:26:00,drinks,friday
24,friday_1001,2019-09-06 17:27:00,fruit,friday
25,friday_1001,2019-09-06 17:28:00,fruit,friday
26,friday_1001,2019-09-06 17:29:00,checkout,friday
27,friday_1002,2019-09-06 17:19:00,dairy,friday
28,friday_1002,2019-09-06 17:20:00,dairy,friday
29,friday_1002,2019-09-06 17:21:00,dairy,friday
30,friday_1002,2019-09-06 17:22:00,dairy,friday
31,friday_1002,2019-09-06 17:23:00,dairy,friday
32,friday_1002,2019-09-06 17:24:00,dairy,friday
33,friday_1002,2019-09-06 17:25:00,dairy,friday
34,friday_1002,2019-09-06 17:26:00,fruit,friday
35,friday_1002,2019-09-06 17:27:00,fruit,friday
36,friday_1002,2019-09-06 17:28:00,dairy,friday
37,friday_1002,2019-09-06 17:29:00,checkout,friday
38,friday_1003,2019-09-06 17:19:00,dairy,friday
39,friday_1003,2019-09-06 17:20:00,dairy,friday
40,friday_1003,2019-09-06 17:21:00,dairy,friday
41,friday_1003,2019-09-06 17:22:00,dairy,friday
42,friday_1003,2019-09-06 17:23:00,dairy,friday
43,friday_1003,2019-09-06 17:24:00,dairy,friday
44,friday_1003,2019-09-06 17:25:00,dairy,friday
45,friday_1003,2019-09-06 17:26:00,dairy,friday
46,friday_1003,2019-09-06 17:27:00,dairy,friday
47,friday_1003,2019-09-06 17:28:00,checkout,friday
48,friday_1004,2019-09-06 17:19:00,drinks,friday
49,friday_1004,2019-09-06 17:20:00,spices,friday
50,friday_1004,2019-09-06 17:21:00,dairy,friday
51,friday_1004,2019-09-06 17:22:00,dairy,friday
52,friday_1004,2019-09-06 17:23:00,fruit,friday
53,friday_1004,2019-09-06 17:24:00,fruit,friday
54,friday_1004,2019-09-06 17:25:00,fruit,friday
55,friday_1004,2019-09-06 17:26:00,dairy,friday
56,friday_1004,2019-09-06 17:27:00,dairy,friday
57,friday_1004,2019-09-06 17:28:00,dairy,friday
58,friday_1004,2019-09-06 17:29:00,dairy,friday
59,friday_1004,2019-09-06 17:30:00,dairy,friday
60,friday_1004,2019-09-06 17:31:00,dairy,friday
61,friday_1004,2019-09-06 17:32:00,dairy,friday
62,friday_1004,2019-09-06 17:33:00,dairy,friday
63,friday_1004,2019-09-06 17:34:00,dairy,friday
64,friday_1004,2019-09-06 17:35:00,dairy,friday
65,friday_1004,2019-09-06 17:36:00,dairy,friday
66,friday_1004,2019-09-06 17:37:00,dairy,friday
67,friday_1004,2019-09-06 17:38:00,dairy,friday
68,friday_1004,2019-09-06 17:39:00,dairy,friday
69,friday_1004,2019-09-06 17:40:00,dairy,friday
70,friday_1004,2019-09-06 17:41:00,dairy,friday
71,friday_1004,2019-09-06 17:42:00,dairy,friday
72,friday_1004,2019-09-06 17:43:00,spices,friday
73,friday_1004,2019-09-06 17:44:00,dairy,friday
74,friday_1004,2019-09-06 17:45:00,dairy,friday
75,friday_1004,2019-09-06 17:46:00,dairy,friday
76,friday_1004,2019-09-06 17:47:00,dairy,friday
77,friday_1004,2019-09-06 17:48:00,fruit,friday
78,friday_1004,2019-09-06 17:49:00,fruit,friday
79,friday_1004,2019-09-06 17:50:00,fruit,friday
80,friday_1004,2019-09-06 17:51:00,checkout,friday
81,friday_1005,2019-09-06 17:19:00,spices,friday
82,friday_1005,2019-09-06 17:20:00,fruit,friday
83,friday_1005,2019-09-06 17:21:00,fruit,friday
84,friday_1005,2019-09-06 17:22:00,fruit,friday
85,friday_1005,2019-09-06 17:23:00,drinks,friday
86,friday_1005,2019-09-06 17:24:00,drinks,friday
87,friday_1005,2019-09-06 17:25:00,drinks,friday
88,friday_1005,2019-09-06 17:26:00,checkout,friday
89,friday_1006,2019-09-06 17:21:00,spices,friday
90,friday_1006,2019-09-06 17:22:00,spices,friday
91,friday_1006,2019-09-06 17:23:00,drinks,friday
92,friday_1006,2019-09-06 17:24:00,drinks,friday
93,friday_1006,2019-09-06 17:25:00,fruit,friday
94,friday_1006,2019-09-06 17:26:00,dairy,friday
95,friday_1006,2019-09-06 17:27:00,dairy,friday
96,friday_1006,2019-09-06 17:28:00,fruit,friday
97,friday_1006,2019-09-06 17:29:00,checkout,friday
98,friday_1007,2019-09-06 17:21:00,dairy,friday
99,friday_1007,2019-09-06 17:22:00,checkout,friday
100,friday_1008,2019-09-06 17:21:00,fruit,friday
101,friday_1008,2019-09-06 17:22:00,drinks,friday
102,friday_1008,2019-09-06 17:23:00,drinks,friday
103,friday_1008,2019-09-06 17:24:00,drinks,friday
104,friday_1008,2019-09-06 17:25:00,drinks,friday
105,friday_1008,2019-09-06 17:26:00,drinks,friday
106,friday_1008,2019-09-06 17:27:00,drinks,friday
107,friday_1008,2019-09-06 17:28:00,checkout,friday
108,friday_1009,2019-09-06 17:22:00,dairy,friday
109,friday_1009,2019-09-06 17:23:00,dairy,friday
110,friday_1009,2019-09-06 17:24:00,spices,friday
111,friday_1009,2019-09-06 17:25:00,spices,friday
112,friday_1009,2019-09-06 17:26:00,fruit,friday
113,friday_1009,2019-09-06 17:27:00,fruit,friday
114,friday_1009,2019-09-06 17:28:00,dairy,friday
115,friday_1009,2019-09-06 17:29:00,dairy,friday
116,friday_1009,2019-09-06 17:30:00,checkout,friday
117,friday_101,2019-09-06 08:03:00,dairy,friday
118,friday_101,2019-09-06 08:04:00,dairy,friday
119,friday_101,2019-09-06 08:05:00,dairy,friday
120,friday_101,2019-09-06 08:06:00,dairy,friday
121,friday_101,2019-09-06 08:07:00,checkout,friday
122,friday_1010,2019-09-06 17:23:00,fruit,friday
123,friday_1010,2019-09-06 17:24:00,drinks,friday
124,friday_1010,2019-09-06 17:25:00,drinks,friday
125,friday_1010,2019-09-06 17:26:00,drinks,friday
126,friday_1010,2019-09-06 17:27:00,dairy,friday
127,friday_1010,2019-09-06 17:28:00,drinks,friday
128,friday_1010,2019-09-06 17:29:00,checkout,friday
129,friday_1011,2019-09-06 17:23:00,fruit,friday
130,friday_1011,2019-09-06 17:24:00,dairy,friday
131,friday_1011,2019-09-06 17:25:00,drinks,friday
132,friday_1011,2019-09-06 17:26:00,drinks,friday
133,friday_1011,2019-09-06 17:27:00,fruit,friday
134,friday_1011,2019-09-06 17:28:00,drinks,friday
135,friday_1011,2019-09-06 17:29:00,checkout,friday
136,friday_1012,2019-09-06 17:24:00,fruit,friday
137,friday_1012,2019-09-06 17:25:00,fruit,friday
138,friday_1012,2019-09-06 17:26:00,fruit,friday
139,friday_1012,2019-09-06 17:27:00,fruit,friday
140,friday_1012,2019-09-06 17:28:00,fruit,friday
141,friday_1012,2019-09-06 17:29:00,checkout,friday
142,friday_1013,2019-09-06 17:24:00,spices,friday
143,friday_1013,2019-09-06 17:25:00,checkout,friday
144,friday_1014,2019-09-06 17:24:00,drinks,friday
145,friday_1014,2019-09-06 17:25:00,drinks,friday
146,friday_1014,2019-09-06 17:26:00,drinks,friday
147,friday_1014,2019-09-06 17:27:00,drinks,friday
148,friday_1014,2019-09-06 17:28:00,drinks,friday
149,friday_1014,2019-09-06 17:29:00,fruit,friday
150,friday_1014,2019-09-06 17:30:00,dairy,friday
151,friday_1014,2019-09-06 17:31:00,drinks,friday
152,friday_1014,2019-09-06 17:32:00,checkout,friday
153,friday_1015,2019-09-06 17:25:00,dairy,friday
154,friday_1015,2019-09-06 17:26:00,dairy,friday
155,friday_1015,2019-09-06 17:27:00,spices,friday
156,friday_1015,2019-09-06 17:28:00,drinks,friday
157,friday_1015,2019-09-06 17:29:00,drinks,friday
158,friday_1015,2019-09-06 17:30:00,checkout,friday
159,friday_1016,2019-09-06 17:25:00,drinks,friday
160,friday_1016,2019-09-06 17:26:00,drinks,friday
161,friday_1016,2019-09-06 17:27:00,dairy,friday
162,friday_1016,2019-09-06 17:28:00,checkout,friday
163,friday_1017,2019-09-06 17:26:00,drinks,friday
164,friday_1017,2019-09-06 17:27:00,drinks,friday
165,friday_1017,2019-09-06 17:28:00,drinks,friday
166,friday_1017,2019-09-06 17:29:00,drinks,friday
167,friday_1017,2019-09-06 17:30:00,drinks,friday
168,friday_1017,2019-09-06 17:31:00,fruit,friday
169,friday_1017,2019-09-06 17:32:00,fruit,friday
170,friday_1017,2019-09-06 17:33:00,checkout,friday
171,friday_1018,2019-09-06 17:26:00,dairy,friday
172,friday_1018,2019-09-06 17:27:00,dairy,friday
173,friday_1018,2019-09-06 17:28:00,dairy,friday
174,friday_1018,2019-09-06 17:29:00,dairy,friday
175,friday_1018,2019-09-06 17:30:00,dairy,friday
176,friday_1018,2019-09-06 17:31:00,dairy,friday
177,friday_1018,2019-09-06 17:32:00,dairy,friday
178,friday_1018,2019-09-06 17:33:00,dairy,friday
179,friday_1018,2019-09-06 17:34:00,dairy,friday
180,friday_1018,2019-09-06 17:35:00,checkout,friday
181,friday_1019,2019-09-06 17:26:00,fruit,friday
182,friday_1019,2019-09-06 17:27:00,fruit,friday
183,friday_1019,2019-09-06 17:28:00,checkout,friday
184,friday_102,2019-09-06 08:04:00,fruit,friday
185,friday_102,2019-09-06 08:05:00,fruit,friday
186,friday_102,2019-09-06 08:06:00,dairy,friday
187,friday_102,2019-09-06 08:07:00,dairy,friday
188,friday_102,2019-09-06 08:08:00,dairy,friday
189,friday_102,2019-09-06 08:09:00,dairy,friday
190,friday_102,2019-09-06 08:10:00,dairy,friday
191,friday_102,2019-09-06 08:11:00,dairy,friday
192,friday_102,2019-09-06 08:12:00,dairy,friday
193,friday_102,2019-09-06 08:13:00,fruit,friday
194,friday_102,2019-09-06 08:14:00,fruit,friday
195,friday_102,2019-09-06 08:15:00,fruit,friday
196,friday_102,2019-09-06 08:16:00,fruit,friday
197,friday_102,2019-09-06 08:17:00,fruit,friday
198,friday_102,2019-09-06 08:18:00,fruit,friday
199,friday_102,2019-09-06 08:19:00,fruit,friday
200,friday_102,2019-09-06 08:20:00,fruit,friday
201,friday_102,2019-09-06 08:21:00,dairy,friday
202,friday_102,2019-09-06 08:22:00,dairy,friday
203,friday_102,2019-09-06 08:23:00,fruit,friday
204,friday_102,2019-09-06 08:24:00,dairy,friday
205,friday_102,2019-09-06 08:25:00,dairy,friday
206,friday_102,2019-09-06 08:26:00,fruit,friday
207,friday_102,2019-09-06 08:27:00,fruit,friday
208,friday_102,2019-09-06 08:28:00,fruit,friday
209,friday_102,2019-09-06 08:29:00,fruit,friday
210,friday_102,2019-09-06 08:30:00,fruit,friday
211,friday_102,2019-09-06 08:31:00,drinks,friday
212,friday_102,2019-09-06 08:32:00,drinks,friday
213,friday_102,2019-09-06 08:33:00,fruit,friday
214,friday_102,2019-09-06 08:34:00,fruit,friday
215,friday_102,2019-09-06 08:35:00,fruit,friday
216,friday_102,2019-09-06 08:36:00,fruit,friday
217,friday_102,2019-09-06 08:37:00,fruit,friday
218,friday_102,2019-09-06 08:38:00,fruit,friday
219,friday_102,2019-09-06 08:39:00,fruit,friday
220,friday_102,2019-09-06 08:40:00,fruit,friday
221,friday_102,2019-09-06 08:41:00,fruit,friday
222,friday_102,2019-09-06 08:42:00,dairy,friday
223,friday_102,2019-09-06 08:43:00,drinks,friday
224,friday_102,2019-09-06 08:44:00,drinks,friday
225,friday_102,2019-09-06 08:45:00,drinks,friday
226,friday_102,2019-09-06 08:46:00,drinks,friday
227,friday_102,2019-09-06 08:47:00,drinks,friday
228,friday_102,2019-09-06 08:48:00,drinks,friday
229,friday_102,2019-09-06 08:49:00,spices,friday
230,friday_102,2019-09-06 08:50:00,drinks,friday
231,friday_102,2019-09-06 08:51:00,fruit,friday
232,friday_102,2019-09-06 08:52:00,spices,friday
233,friday_102,2019-09-06 08:53:00,spices,friday
234,friday_102,2019-09-06 08:54:00,spices,friday
235,friday_102,2019-09-06 08:55:00,fruit,friday
236,friday_102,2019-09-06 08:56:00,checkout,friday
237,friday_1020,2019-09-06 17:27:00,dairy,friday
238,friday_1020,2019-09-06 17:28:00,dairy,friday
239,friday_1020,2019-09-06 17:29:00,dairy,friday
240,friday_1020,2019-09-06 17:30:00,dairy,friday
241,friday_1020,2019-09-06 17:31:00,spices,friday
242,friday_1020,2019-09-06 17:32:00,dairy,friday
243,friday_1020,2019-09-06 17:33:00,dairy,friday
244,friday_1020,2019-09-06 17:34:00,dairy,friday
245,friday_1020,2019-09-06 17:35:00,checkout,friday
246,friday_1021,2019-09-06 17:28:00,fruit,friday
247,friday_1021,2019-09-06 17:29:00,checkout,friday
248,friday_1022,2019-09-06 17:28:00,dairy,friday
249,friday_1022,2019-09-06 17:29:00,dairy,friday
250,friday_1022,2019-09-06 17:30:00,dairy,friday
251,friday_1022,2019-09-06 17:31:00,fruit,friday
252,friday_1022,2019-09-06 17:32:00,fruit,friday
253,friday_1022,2019-09-06 17:33:00,checkout,friday
254,friday_1023,2019-09-06 17:29:00,dairy,friday
255,friday_1023,2019-09-06 17:30:00,dairy,friday
256,friday_1023,2019-09-06 17:31:00,dairy,friday
257,friday_1023,2019-09-06 17:32:00,checkout,friday
258,friday_1024,2019-09-06 17:29:00,spices,friday
259,friday_1024,2019-09-06 17:30:00,drinks,friday
260,friday_1024,2019-09-06 17:31:00,fruit,friday
261,friday_1024,2019-09-06 17:32:00,fruit,friday
262,friday_1024,2019-09-06 17:33:00,spices,friday
263,friday_1024,2019-09-06 17:34:00,fruit,friday
264,friday_1024,2019-09-06 17:35:00,fruit,friday
265,friday_1024,2019-09-06 17:36:00,drinks,friday
266,friday_1024,2019-09-06 17:37:00,drinks,friday
267,friday_1024,2019-09-06 17:38:00,drinks,friday
268,friday_1024,2019-09-06 17:39:00,drinks,friday
269,friday_1024,2019-09-06 17:40:00,checkout,friday
270,friday_1025,2019-09-06 17:31:00,fruit,friday
271,friday_1025,2019-09-06 17:32:00,fruit,friday
272,friday_1025,2019-09-06 17:33:00,fruit,friday
273,friday_1025,2019-09-06 17:34:00,fruit,friday
274,friday_1025,2019-09-06 17:35:00,fruit,friday
275,friday_1025,2019-09-06 17:36:00,fruit,friday
276,friday_1025,2019-09-06 17:37:00,fruit,friday
277,friday_1025,2019-09-06 17:38:00,fruit,friday
278,friday_1025,2019-09-06 17:39:00,fruit,friday
279,friday_1025,2019-09-06 17:40:00,fruit,friday
280,friday_1025,2019-09-06 17:41:00,fruit,friday
281,friday_1025,2019-09-06 17:42:00,fruit,friday
282,friday_1025,2019-09-06 17:43:00,fruit,friday
283,friday_1025,2019-09-06 17:44:00,fruit,friday
284,friday_1025,2019-09-06 17:45:00,spices,friday
285,friday_1025,2019-09-06 17:46:00,fruit,friday
286,friday_1025,2019-09-06 17:47:00,fruit,friday
287,friday_1025,2019-09-06 17:48:00,checkout,friday
288,friday_1026,2019-09-06 17:31:00,dairy,friday
289,friday_1026,2019-09-06 17:32:00,dairy,friday
290,friday_1026,2019-09-06 17:33:00,dairy,friday
291,friday_1026,2019-09-06 17:34:00,checkout,friday
292,friday_1027,2019-09-06 17:31:00,spices,friday
293,friday_1027,2019-09-06 17:32:00,fruit,friday
294,friday_1027,2019-09-06 17:33:00,fruit,friday
295,friday_1027,2019-09-06 17:34:00,fruit,friday
296,friday_1027,2019-09-06 17:35:00,checkout,friday
297,friday_1028,2019-09-06 17:31:00,fruit,friday
298,friday_1028,2019-09-06 17:32:00,fruit,friday
299,friday_1028,2019-09-06 17:33:00,spices,friday
300,friday_1028,2019-09-06 17:34:00,spices,friday
301,friday_1028,2019-09-06 17:35:00,drinks,friday
302,friday_1028,2019-09-06 17:36:00,drinks,friday
303,friday_1028,2019-09-06 17:37:00,drinks,friday
304,friday_1028,2019-09-06 17:38:00,checkout,friday
305,friday_1029,2019-09-06 17:31:00,drinks,friday
306,friday_1029,2019-09-06 17:32:00,drinks,friday
307,friday_1029,2019-09-06 17:33:00,drinks,friday
